Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240425_083117_v3,gpu,19,4.563,0.837,0.485,0.246,0.0
Synthetic_240425_083117_v3,spinnaker,8,1.927,0.513,0.496,0.25,0.0
Synthetic_240425_083227_v1,gpu,19,4.644,0.83,0.542,0.254,0.0
Synthetic_240425_083227_v1,spinnaker,7,1.74,0.53,0.508,0.255,0.0
Synthetic_240425_083227_v2,gpu,19,4.675,0.845,0.57,0.257,0.0
Synthetic_240425_083227_v2,spinnaker,7,1.804,0.506,0.586,0.258,0.0
Synthetic_240425_083227_v3,gpu,19,4.662,0.839,0.532,0.255,0.0
Synthetic_240425_083227_v3,spinnaker,7,1.865,0.588,0.52,0.252,0.0
Synthetic_240425_083338_v1,gpu,18,0.785,0.538,0.065,0.03,0.005
Synthetic_240425_083338_v1,spinnaker,8,0.604,0.559,0.064,0.03,0.0
Synthetic_240425_083338_v2,gpu,18,0.787,0.54,0.064,0.029,0.005
Synthetic_240425_083338_v2,spinnaker,9,0.573,0.516,0.064,0.029,0.0
Synthetic_240425_083338_v3,gpu,18,0.773,0.539,0.064,0.03,0.03
Synthetic_240425_083338_v3,spinnaker,10,0.591,0.537,0.066,0.029,0.0
Synthetic_240425_083448_v1,gpu,16,0.651,0.446,0.073,0.031,0.0505
Synthetic_240425_083448_v1,spinnaker,8,0.59,0.544,0.073,0.03,0.0
Synthetic_240425_083448_v2,gpu,17,0.669,0.449,0.073,0.03,0.078
Synthetic_240425_083448_v2,spinnaker,8,0.629,0.589,0.073,0.03,0.009
Synthetic_240425_083448_v3,gpu,15,0.607,0.431,0.07,0.029,0.0635
Synthetic_240425_083448_v3,spinnaker,8,0.623,0.583,0.071,0.029,0.0095
Synthetic_240425_083559_v1,gpu,18,1.005,0.456,0.104,0.052,0.0095
Synthetic_240425_083559_v1,spinnaker,9,0.663,0.512,0.104,0.052,0.0
Synthetic_240425_083559_v2,gpu,19,1.018,0.412,0.104,0.052,0.015
Synthetic_240425_083559_v2,spinnaker,7,0.6,0.495,0.117,0.052,0.0
Synthetic_240425_083559_v3,gpu,19,1.005,0.463,0.105,0.051,0.0145
Synthetic_240425_083559_v3,spinnaker,8,0.629,0.512,0.104,0.052,0.0
Synthetic_240425_083709_v1,gpu,19,1.068,0.506,0.104,0.052,0.0195
Synthetic_240425_083709_v1,spinnaker,9,0.734,0.573,0.101,0.053,0.0
Synthetic_240425_083709_v2,gpu,18,1.016,0.503,0.11,0.052,0.02
Synthetic_240425_083709_v2,spinnaker,8,0.665,0.536,0.102,0.052,0.0
Synthetic_240425_083709_v3,gpu,19,1.042,0.487,0.102,0.051,0.005
Synthetic_240425_083709_v3,spinnaker,8,0.721,0.575,0.104,0.055,0.0
Synthetic_240425_083820_v1,gpu,19,1.289,0.498,0.113,0.062,0.0295
Synthetic_240425_083820_v1,spinnaker,8,0.677,0.485,0.114,0.062,0.0
Synthetic_240425_083820_v2,gpu,18,1.261,0.503,0.121,0.063,0.0415
Synthetic_240425_083820_v2,spinnaker,9,0.714,0.492,0.115,0.064,0.0
Synthetic_240425_083820_v3,gpu,18,1.255,0.492,0.117,0.064,0.005
Synthetic_240425_083820_v3,spinnaker,11,0.893,0.604,0.113,0.063,0.0
Synthetic_240425_083931_v1,gpu,20,1.298,0.508,0.113,0.063,0.015
Synthetic_240425_083931_v1,spinnaker,8,0.651,0.45,0.115,0.062,0.0
Synthetic_240425_083931_v2,gpu,20,1.307,0.466,0.118,0.065,0.042
Synthetic_240425_083931_v2,spinnaker,8,0.652,0.451,0.117,0.063,0.0
Synthetic_240425_083931_v3,gpu,19,1.257,0.508,0.113,0.062,0.0595
Synthetic_240425_083931_v3,spinnaker,7,0.606,0.455,0.111,0.062,0.0
Synthetic_240425_084042_v1,gpu,19,1.068,0.453,0.11,0.055,0.085
Synthetic_240425_084042_v1,spinnaker,8,0.564,0.425,0.109,0.055,0.0
Synthetic_240425_084042_v2,gpu,18,1.062,0.442,0.109,0.054,0.089
Synthetic_240425_084042_v2,spinnaker,8,0.595,0.467,0.113,0.054,0.0
Synthetic_240425_084042_v3,gpu,18,1.028,0.437,0.114,0.054,0.0835
Synthetic_240425_084042_v3,spinnaker,7,0.557,0.429,0.109,0.055,0.0
Synthetic_240425_084152_v1,gpu,19,1.278,0.511,0.115,0.064,0.0495
Synthetic_240425_084152_v1,spinnaker,8,0.667,0.479,0.112,0.061,0.0
Synthetic_240425_084152_v2,gpu,20,1.351,0.528,0.113,0.063,0.039
Synthetic_240425_084152_v2,spinnaker,7,0.647,0.475,0.114,0.064,0.0
Synthetic_240425_084152_v3,gpu,19,1.251,0.514,0.115,0.061,0.0435
Synthetic_240425_084152_v3,spinnaker,8,0.68,0.479,0.117,0.062,0.0
Synthetic_240425_084303_v1,gpu,19,1.384,0.447,0.128,0.075,0.029
Synthetic_240425_084303_v1,spinnaker,8,0.725,0.481,0.127,0.073,0.0
Synthetic_240425_084303_v2,gpu,18,1.353,0.447,0.127,0.073,0.0345
Synthetic_240425_084303_v2,spinnaker,8,0.706,0.47,0.127,0.072,0.0
